# Enter the hostname, IP address, Ansible user, and password for each node.
# You can add multiple nodes by specifying their respective details.
## Format: ansible_hostname    ip_address        ansible_user    ansible_password    group_name       hostname
ansible_hostname         ip              ansible_user  ansible_password      group          hostname

headnode                 192.168.1.10    root          Admin#@#$             headnode       headnode
hpc-master01             192.168.1.1     root          Admin#@#$             hpc_master     master01
hpc-master02             192.168.1.2     root          Admin#@#$             hpc_master     master02
hpc-mgmt01               192.168.1.4     root          Admin#@#$             hpc_mgmt       mgmt01
hpc-mgmt02               192.168.1.5     root          Admin#@#$             hpc_mgmt       mgmt02
login01                  192.168.1.11    root          Admin#@#$             login          login01
login02                  192.168.1.12    root          Admin#@#$             login          login02
login03                  192.168.1.13    root          Admin#@#$             login          login03
login04                  192.168.1.14    root          Admin#@#$             login          login04
